ID,gender,age,agecat,ed,edcat,jobcat,empcat,retire,income,inccat,debtinc,jobsat,marital,homeown,card,default
390,Male,27,25-34,20,Post-undergraduate degree,Sales and Office,Less than 2,No,14,Under $25,15,Highly dissatisfied,Unmarried,Rent,American Express,No
391,Female,34,25-34,11,Did not complete high school,"Operation, Fabrication, General Labor",2 to 5,No,32,$25 - $49,12.3,Highly satisfied,Married,Own,Visa,No
392,Female,20,18-24,15,Some college,"Operation, Fabrication, General Labor",Less than 2,No,24,Under $25,5.9,Highly satisfied,Unmarried,Own,Discover,No
393,Female,70,65+,19,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,10,Under $25,9.2,Somewhat dissatisfied,Unmarried,Rent,Discover,No
394,Female,67,65+,13,High school degree,Sales and Office,6 to 10,No,38,$25 - $49,16.2,Somewhat satisfied,Unmarried,Rent,Mastercard,No
395,Female,41,35-49,14,High school degree,Agricultural and Natural Resources,More than 15,No,43,$25 - $49,18.1,Somewhat satisfied,Married,Rent,Visa,Yes
396,Male,76,65+,14,High school degree,Sales and Office,11 to 15,Yes,15,Under $25,6.7,Neutral,Unmarried,Rent,American Express,No
397,Female,68,65+,12,High school degree,Sales and Office,6 to 10,Yes,12,Under $25,22.7,Somewhat dissatisfied,Married,Own,Other,Yes
398,Female,40,35-49,19,College degree,"Operation, Fabrication, General Labor",11 to 15,No,107,$75 - $124,4.1,Somewhat satisfied,Married,Rent,Visa,No
399,Female,77,65+,10,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,10,Under $25,4.6,Highly satisfied,Unmarried,Rent,Mastercard,No
400,Male,74,65+,13,High school degree,"Precision Production, Craft, Repair",More than 15,Yes,19,Under $25,4.9,Somewhat satisfied,Unmarried,Own,Visa,No
401,Male,54,50-64,10,Did not complete high school,Sales and Office,6 to 10,No,33,$25 - $49,11.9,Neutral,Unmarried,Own,Visa,No
402,Female,36,35-49,18,College degree,Service,2 to 5,No,41,$25 - $49,11,Highly dissatisfied,Married,Rent,Visa,No
403,Female,64,50-64,9,Did not complete high school,Service,More than 15,No,236,$125+,0.5,Highly satisfied,Unmarried,Own,Discover,No
404,Male,23,18-24,16,Some college,"Precision Production, Craft, Repair",Less than 2,No,44,$25 - $49,6.4,Somewhat satisfied,Married,Own,Mastercard,No
405,Male,53,50-64,17,College degree,Sales and Office,2 to 5,No,94,$75 - $124,16.4,Neutral,Unmarried,Rent,American Express,Yes
406,Female,68,65+,15,Some college,Managerial and Professional,11 to 15,No,57,$50 - $74,5.6,Neutral,Married,Own,Mastercard,No
407,Male,57,50-64,14,High school degree,Service,More than 15,No,70,$50 - $74,20.4,Highly satisfied,Unmarried,Rent,Discover,No
408,Female,28,25-34,19,College degree,Sales and Office,Less than 2,No,19,Under $25,12.5,Highly dissatisfied,Married,Rent,Discover,No
409,Female,55,50-64,16,Some college,Sales and Office,2 to 5,No,68,$50 - $74,3,Somewhat dissatisfied,Married,Own,American Express,No
410,Male,59,50-64,15,Some college,Service,11 to 15,No,184,$125+,6.6,Somewhat satisfied,Married,Own,Visa,No
411,Female,47,35-49,17,College degree,Managerial and Professional,6 to 10,No,54,$50 - $74,1.6,Somewhat satisfied,Married,Rent,Mastercard,No
412,Female,54,50-64,18,College degree,Managerial and Professional,6 to 10,No,80,$75 - $124,5.8,Neutral,Married,Own,American Express,No
413,Male,43,35-49,11,Did not complete high school,Sales and Office,2 to 5,No,60,$50 - $74,7.4,Neutral,Married,Rent,American Express,No
414,Male,40,35-49,10,Did not complete high school,Agricultural and Natural Resources,More than 15,No,43,$25 - $49,15.1,Neutral,Married,Own,Discover,No
415,Male,22,18-24,14,High school degree,Service,Less than 2,No,18,Under $25,21.7,Highly dissatisfied,Married,Own,Mastercard,Yes
416,Female,33,25-34,11,Did not complete high school,"Precision Production, Craft, Repair",2 to 5,No,38,$25 - $49,17.5,Somewhat satisfied,Married,Own,American Express,Yes
417,Female,58,50-64,10,Did not complete high school,Sales and Office,6 to 10,No,27,$25 - $49,7.8,Somewhat dissatisfied,Married,Own,Discover,No
418,Female,51,50-64,14,High school degree,Sales and Office,11 to 15,No,35,$25 - $49,12.9,Neutral,Unmarried,Rent,Mastercard,Yes
419,Female,61,50-64,16,Some college,Managerial and Professional,11 to 15,No,96,$75 - $124,9.7,Highly satisfied,Married,Own,Discover,No
420,Male,33,25-34,11,Did not complete high school,Service,11 to 15,No,53,$50 - $74,1,Highly satisfied,Unmarried,Own,Mastercard,No
421,Male,57,50-64,14,High school degree,Sales and Office,6 to 10,No,29,$25 - $49,8.5,Somewhat dissatisfied,Unmarried,Own,Discover,No
422,Female,76,65+,12,High school degree,"Precision Production, Craft, Repair",More than 15,Yes,20,Under $25,2.5,Highly satisfied,Unmarried,Rent,Visa,No
423,Male,65,65+,16,Some college,Managerial and Professional,More than 15,No,296,$125+,17.1,Highly dissatisfied,Unmarried,Own,Discover,Yes
424,Male,45,35-49,16,Some college,Service,11 to 15,No,41,$25 - $49,8.3,Somewhat satisfied,Unmarried,Rent,Visa,No
425,Female,56,50-64,17,College degree,Sales and Office,6 to 10,No,20,Under $25,8.5,Somewhat satisfied,Unmarried,Own,Visa,No
426,Male,46,35-49,14,High school degree,Sales and Office,2 to 5,No,33,$25 - $49,5.8,Somewhat dissatisfied,Unmarried,Own,Visa,Yes
427,Male,75,65+,19,College degree,Sales and Office,11 to 15,Yes,12,Under $25,6.5,Somewhat satisfied,Unmarried,Own,Discover,No
428,Female,68,65+,14,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,23,Under $25,1.8,Highly satisfied,Unmarried,Own,Discover,No
429,Male,65,65+,11,Did not complete high school,Sales and Office,2 to 5,No,21,Under $25,5.5,Somewhat satisfied,Married,Rent,Mastercard,No
430,Male,27,25-34,17,College degree,Sales and Office,Less than 2,No,16,Under $25,2.3,Highly dissatisfied,Married,Own,Mastercard,No
431,Male,68,65+,19,College degree,Managerial and Professional,11 to 15,No,108,$75 - $124,5.6,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
432,Female,65,65+,16,Some college,Sales and Office,More than 15,No,167,$125+,4.7,Highly satisfied,Unmarried,Rent,Discover,No
433,Female,56,50-64,13,High school degree,Sales and Office,Less than 2,No,20,Under $25,6.3,Highly dissatisfied,Married,Rent,Mastercard,No
434,Male,53,50-64,15,Some college,"Operation, Fabrication, General Labor",11 to 15,No,49,$25 - $49,10.8,Neutral,Unmarried,Own,American Express,No
435,Male,72,65+,11,Did not complete high school,Service,More than 15,Yes,17,Under $25,16.2,Highly satisfied,Unmarried,Own,Mastercard,No
436,Male,58,50-64,13,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,19,Under $25,4.7,Somewhat satisfied,Unmarried,Rent,American Express,No
437,Male,39,35-49,8,Did not complete high school,Agricultural and Natural Resources,11 to 15,No,46,$25 - $49,5.7,Somewhat satisfied,Unmarried,Own,Other,No
438,Female,39,35-49,14,High school degree,Sales and Office,2 to 5,No,83,$75 - $124,7.2,Highly dissatisfied,Unmarried,Rent,Visa,Yes
439,Female,73,65+,12,High school degree,Managerial and Professional,More than 15,Yes,26,$25 - $49,13.1,Somewhat dissatisfied,Married,Own,Discover,No
440,Male,51,50-64,21,Post-undergraduate degree,Managerial and Professional,2 to 5,No,46,$25 - $49,36.7,Neutral,Unmarried,Own,Mastercard,Yes
441,Female,37,35-49,10,Did not complete high school,Service,11 to 15,No,41,$25 - $49,14,Neutral,Unmarried,Own,Visa,No
442,Female,36,35-49,16,Some college,Managerial and Professional,2 to 5,No,81,$75 - $124,10.5,Somewhat dissatisfied,Married,Own,American Express,No
443,Female,65,65+,17,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,31,$25 - $49,5.5,Somewhat dissatisfied,Married,Own,American Express,No
444,Male,33,25-34,14,High school degree,Managerial and Professional,2 to 5,No,32,$25 - $49,22.7,Neutral,Married,Own,Discover,Yes
445,Male,57,50-64,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,25,$25 - $49,11,Somewhat dissatisfied,Unmarried,Rent,Other,No
446,Female,54,50-64,19,College degree,"Operation, Fabrication, General Labor",11 to 15,No,125,$125+,5.7,Highly satisfied,Unmarried,Own,Discover,No
447,Male,31,25-34,18,College degree,Service,2 to 5,No,137,$125+,5.3,Somewhat dissatisfied,Married,Own,Discover,No
448,Male,33,25-34,15,Some college,Service,6 to 10,No,49,$25 - $49,7.7,Somewhat dissatisfied,Married,Own,Discover,No
449,Male,20,18-24,15,Some college,"Precision Production, Craft, Repair",Less than 2,No,28,$25 - $49,10.5,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
450,Female,65,65+,16,Some college,Sales and Office,6 to 10,No,60,$50 - $74,9.9,Highly dissatisfied,Married,Own,Visa,No
451,Female,62,50-64,17,College degree,Managerial and Professional,More than 15,No,186,$125+,20.6,Highly satisfied,Unmarried,Own,Mastercard,No
452,Female,39,35-49,9,Did not complete high school,Sales and Office,2 to 5,No,49,$25 - $49,6.4,Somewhat satisfied,Married,Own,Visa,No
453,Female,36,35-49,17,College degree,"Precision Production, Craft, Repair",2 to 5,No,34,$25 - $49,20.2,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
454,Female,26,25-34,15,Some college,Service,2 to 5,No,24,Under $25,13.5,Somewhat dissatisfied,Married,Own,Discover,Yes
455,Male,20,18-24,15,Some college,"Precision Production, Craft, Repair",Less than 2,No,27,$25 - $49,11.2,Somewhat dissatisfied,Married,Own,Mastercard,Yes
456,Male,49,35-49,12,High school degree,Sales and Office,2 to 5,No,38,$25 - $49,7.6,Highly dissatisfied,Unmarried,Own,Discover,Yes
457,Female,22,18-24,15,Some college,Sales and Office,Less than 2,No,17,Under $25,3.1,Neutral,Unmarried,Rent,Visa,No
458,Male,48,35-49,14,High school degree,"Operation, Fabrication, General Labor",11 to 15,No,90,$75 - $124,7.2,Highly satisfied,Married,Own,Mastercard,No
459,Male,74,65+,11,Did not complete high school,Sales and Office,11 to 15,No,26,$25 - $49,12.4,Somewhat satisfied,Married,Own,Mastercard,No
460,Male,55,50-64,14,High school degree,"Operation, Fabrication, General Labor",More than 15,No,112,$75 - $124,26.1,Somewhat satisfied,Unmarried,Rent,American Express,No
461,Male,58,50-64,16,Some college,Service,11 to 15,No,70,$50 - $74,9.9,Somewhat dissatisfied,Unmarried,Own,Visa,No
462,Male,49,35-49,18,College degree,"Operation, Fabrication, General Labor",11 to 15,No,197,$125+,18.8,Somewhat satisfied,Married,Rent,American Express,Yes
463,Female,23,18-24,13,High school degree,Managerial and Professional,2 to 5,No,15,Under $25,8.1,Highly dissatisfied,Unmarried,Rent,Discover,Yes
464,Female,52,50-64,16,Some college,Agricultural and Natural Resources,More than 15,No,98,$75 - $124,22.7,Somewhat satisfied,Married,Rent,Discover,No
465,Male,36,35-49,15,Some college,"Precision Production, Craft, Repair",6 to 10,No,116,$75 - $124,9.6,Highly satisfied,Unmarried,Rent,Discover,No
466,Male,32,25-34,11,Did not complete high school,Sales and Office,Less than 2,No,40,$25 - $49,10.7,Somewhat dissatisfied,Unmarried,Own,Discover,No
467,Male,45,35-49,17,College degree,Sales and Office,2 to 5,No,190,$125+,7,Highly dissatisfied,Married,Own,American Express,Yes
468,Female,49,35-49,12,High school degree,"Operation, Fabrication, General Labor",More than 15,No,240,$125+,2,Highly satisfied,Married,Own,Discover,No
469,Male,56,50-64,13,High school degree,Agricultural and Natural Resources,More than 15,Yes,74,$50 - $74,7.3,Somewhat dissatisfied,Unmarried,Rent,American Express,No
470,Male,68,65+,20,Post-undergraduate degree,Service,More than 15,Yes,17,Under $25,7.5,Neutral,Married,Rent,American Express,No
471,Female,44,35-49,18,College degree,"Operation, Fabrication, General Labor",11 to 15,No,54,$50 - $74,11.5,Somewhat dissatisfied,Married,Rent,Visa,No
472,Male,57,50-64,15,Some college,Sales and Office,6 to 10,No,73,$50 - $74,7.4,Somewhat dissatisfied,Married,Rent,Visa,No
473,Male,19,18-24,14,High school degree,Agricultural and Natural Resources,Less than 2,No,12,Under $25,2.6,Somewhat satisfied,Married,Own,Visa,Yes
474,Female,69,65+,12,High school degree,Managerial and Professional,More than 15,No,72,$50 - $74,14.4,Highly satisfied,Unmarried,Own,Visa,No
475,Female,63,50-64,11,Did not complete high school,Sales and Office,6 to 10,No,31,$25 - $49,1.3,Somewhat dissatisfied,Married,Own,Visa,No
476,Male,36,35-49,18,College degree,Sales and Office,Less than 2,No,47,$25 - $49,4.9,Highly dissatisfied,Unmarried,Rent,Visa,No
477,Male,38,35-49,19,College degree,Sales and Office,Less than 2,No,23,Under $25,7.7,Neutral,Unmarried,Rent,Mastercard,Yes
478,Female,63,50-64,15,Some college,Sales and Office,2 to 5,No,52,$50 - $74,12.7,Somewhat dissatisfied,Unmarried,Own,American Express,No
479,Female,44,35-49,15,Some college,Sales and Office,2 to 5,No,23,Under $25,10.3,Somewhat satisfied,Married,Own,Visa,No
480,Male,47,35-49,12,High school degree,Managerial and Professional,6 to 10,No,136,$125+,7.4,Highly satisfied,Married,Rent,Discover,Yes
481,Female,37,35-49,14,High school degree,Agricultural and Natural Resources,6 to 10,No,39,$25 - $49,11.8,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
482,Male,37,35-49,17,College degree,Sales and Office,Less than 2,No,22,Under $25,4,Somewhat dissatisfied,Married,Own,American Express,No
483,Male,68,65+,9,Did not complete high school,Managerial and Professional,6 to 10,No,36,$25 - $49,5.1,Somewhat satisfied,Married,Rent,Mastercard,No
484,Male,29,25-34,17,College degree,Service,2 to 5,No,13,Under $25,6.8,Neutral,Married,Own,Visa,No
485,Male,51,50-64,16,Some college,Sales and Office,2 to 5,No,68,$50 - $74,10.1,Highly satisfied,Married,Rent,Visa,Yes
486,Male,54,50-64,15,Some college,"Operation, Fabrication, General Labor",More than 15,No,95,$75 - $124,11.6,Somewhat dissatisfied,Married,Own,Discover,No
487,Male,55,50-64,12,High school degree,Service,11 to 15,No,75,$75 - $124,10.3,Somewhat satisfied,Unmarried,Own,American Express,Yes
488,Male,75,65+,13,High school degree,Sales and Office,6 to 10,Yes,14,Under $25,5.7,Somewhat satisfied,Unmarried,Rent,American Express,No
489,Female,59,50-64,17,College degree,Sales and Office,6 to 10,Yes,9,Under $25,4.6,Neutral,Unmarried,Own,Discover,No
490,Male,36,35-49,15,Some college,Managerial and Professional,2 to 5,No,96,$75 - $124,12.6,Highly satisfied,Married,Rent,Discover,No
491,Male,37,35-49,17,College degree,Agricultural and Natural Resources,11 to 15,No,72,$50 - $74,4.4,Highly satisfied,Married,Own,Discover,No
492,Male,18,18-24,13,High school degree,Sales and Office,Less than 2,No,18,Under $25,2.1,Highly dissatisfied,Unmarried,Own,American Express,Yes
493,Male,73,65+,11,Did not complete high school,Sales and Office,6 to 10,Yes,9,Under $25,8.2,Highly satisfied,Married,Own,Discover,No
494,Male,67,65+,12,High school degree,Sales and Office,2 to 5,No,28,$25 - $49,10.7,Highly satisfied,Married,Own,Discover,No
495,Female,76,65+,11,Did not complete high school,"Precision Production, Craft, Repair",More than 15,Yes,17,Under $25,6.3,Highly satisfied,Unmarried,Own,Visa,No
496,Male,43,35-49,19,College degree,Managerial and Professional,2 to 5,No,49,$25 - $49,4.7,Somewhat satisfied,Unmarried,Rent,Discover,No
497,Male,42,35-49,17,College degree,Sales and Office,2 to 5,No,25,$25 - $49,9,Neutral,Married,Rent,Discover,Yes
498,Male,20,18-24,15,Some college,"Precision Production, Craft, Repair",Less than 2,No,19,Under $25,22.1,Highly dissatisfied,Unmarried,Rent,Visa,Yes
499,Male,63,50-64,14,High school degree,"Operation, Fabrication, General Labor",More than 15,No,183,$125+,1.1,Highly satisfied,Married,Own,Mastercard,No
500,Male,50,50-64,15,Some college,"Precision Production, Craft, Repair",11 to 15,No,112,$75 - $124,16,Somewhat satisfied,Married,Own,Visa,Yes
501,Female,70,65+,13,High school degree,Managerial and Professional,More than 15,No,54,$50 - $74,10.2,Highly satisfied,Unmarried,Rent,Discover,No
502,Male,19,18-24,14,High school degree,"Operation, Fabrication, General Labor",Less than 2,No,19,Under $25,18.4,Somewhat dissatisfied,Unmarried,Rent,Visa,Yes
503,Male,25,25-34,16,Some college,Managerial and Professional,Less than 2,No,21,Under $25,28.5,Somewhat dissatisfied,Married,Rent,Discover,Yes
504,Male,49,35-49,17,College degree,Sales and Office,Less than 2,No,47,$25 - $49,2.9,Highly satisfied,Married,Own,Visa,No
505,Male,55,50-64,15,Some college,Sales and Office,6 to 10,No,58,$50 - $74,19.8,Somewhat satisfied,Married,Own,Visa,No
506,Female,45,35-49,18,College degree,"Operation, Fabrication, General Labor",More than 15,No,140,$125+,8.7,Neutral,Unmarried,Own,American Express,No
507,Male,27,25-34,10,Did not complete high school,"Operation, Fabrication, General Labor",6 to 10,No,24,Under $25,17.6,Somewhat dissatisfied,Unmarried,Own,Visa,Yes
508,Female,51,50-64,16,Some college,"Precision Production, Craft, Repair",More than 15,No,203,$125+,19.6,Highly satisfied,Married,Own,Discover,Yes
509,Male,59,50-64,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,79,$75 - $124,33.2,Highly satisfied,Unmarried,Own,Visa,No
510,Female,32,25-34,13,High school degree,Managerial and Professional,Less than 2,No,62,$50 - $74,12.6,Highly dissatisfied,Married,Rent,Visa,Yes
511,Female,46,35-49,16,Some college,Managerial and Professional,6 to 10,No,30,$25 - $49,1.9,Somewhat dissatisfied,Unmarried,Own,Other,No
512,Female,75,65+,13,High school degree,"Precision Production, Craft, Repair",More than 15,Yes,22,Under $25,8.7,Highly satisfied,Married,Own,Mastercard,No
513,Female,28,25-34,11,Did not complete high school,Sales and Office,Less than 2,No,15,Under $25,11.4,Highly dissatisfied,Married,Own,Visa,No
514,Female,76,65+,13,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,20,Under $25,8.2,Highly satisfied,Unmarried,Own,Visa,No
515,Female,57,50-64,11,Did not complete high school,Service,More than 15,No,75,$75 - $124,9.2,Highly satisfied,Unmarried,Rent,Discover,No
516,Female,24,18-24,18,College degree,Service,Less than 2,No,35,$25 - $49,19.3,Highly dissatisfied,Married,Own,American Express,No
517,Female,77,65+,15,Some college,"Precision Production, Craft, Repair",More than 15,Yes,41,$25 - $49,16.1,Highly satisfied,Married,Rent,Mastercard,No
518,Male,68,65+,22,Post-undergraduate degree,"Operation, Fabrication, General Labor",More than 15,Yes,32,$25 - $49,6.4,Somewhat dissatisfied,Unmarried,Rent,Discover,No
519,Female,61,50-64,8,Did not complete high school,Sales and Office,6 to 10,No,25,$25 - $49,6.6,Neutral,Unmarried,Own,Other,No
520,Female,36,35-49,16,Some college,"Operation, Fabrication, General Labor",6 to 10,No,21,Under $25,5.8,Highly satisfied,Married,Own,Visa,Yes
521,Female,33,25-34,15,Some college,Managerial and Professional,2 to 5,No,35,$25 - $49,5.4,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
522,Female,55,50-64,15,Some college,"Precision Production, Craft, Repair",More than 15,No,95,$75 - $124,4.6,Highly satisfied,Unmarried,Rent,Discover,No
523,Female,44,35-49,11,Did not complete high school,Managerial and Professional,6 to 10,No,72,$50 - $74,2.5,Somewhat dissatisfied,Married,Own,Visa,No
524,Male,41,35-49,15,Some college,Sales and Office,2 to 5,No,39,$25 - $49,11.8,Highly satisfied,Unmarried,Own,Discover,Yes
525,Female,51,50-64,11,Did not complete high school,Managerial and Professional,11 to 15,No,91,$75 - $124,9.8,Neutral,Married,Own,Mastercard,No
526,Female,59,50-64,21,Post-undergraduate degree,Service,11 to 15,No,182,$125+,3.7,Somewhat satisfied,Unmarried,Own,Mastercard,No
527,Male,50,50-64,19,College degree,Managerial and Professional,6 to 10,No,84,$75 - $124,4,Somewhat dissatisfied,Unmarried,Rent,Discover,No
528,Female,59,50-64,9,Did not complete high school,Managerial and Professional,More than 15,No,76,$75 - $124,13,Highly satisfied,Unmarried,Own,Visa,No
529,Female,67,65+,15,Some college,Agricultural and Natural Resources,More than 15,No,388,$125+,5.9,Somewhat satisfied,Married,Own,Discover,No
530,Male,52,50-64,12,High school degree,Sales and Office,6 to 10,No,36,$25 - $49,13.7,Somewhat satisfied,Unmarried,Rent,Mastercard,No
531,Female,62,50-64,19,College degree,Sales and Office,6 to 10,No,31,$25 - $49,18.5,Highly satisfied,Unmarried,Rent,Visa,Yes
532,Male,27,25-34,12,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,47,$25 - $49,0.2,Highly satisfied,Unmarried,Rent,Visa,No
533,Male,36,35-49,18,College degree,Service,11 to 15,No,117,$75 - $124,6.9,Somewhat dissatisfied,Unmarried,Rent,Mastercard,Yes
534,Male,18,18-24,13,High school degree,"Operation, Fabrication, General Labor",Less than 2,No,29,$25 - $49,13,Highly dissatisfied,Married,Own,Discover,Yes
535,Female,65,65+,17,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,96,$75 - $124,6.4,Highly satisfied,Unmarried,Own,American Express,No
536,Male,29,25-34,16,Some college,Sales and Office,Less than 2,No,27,$25 - $49,0.9,Highly dissatisfied,Married,Rent,Visa,No
537,Male,60,50-64,14,High school degree,Managerial and Professional,11 to 15,No,110,$75 - $124,3.1,Somewhat dissatisfied,Married,Rent,American Express,No
538,Female,54,50-64,12,High school degree,"Precision Production, Craft, Repair",More than 15,No,155,$125+,6.4,Somewhat satisfied,Married,Own,Visa,No
539,Male,23,18-24,16,Some college,Sales and Office,Less than 2,No,20,Under $25,5.7,Somewhat dissatisfied,Married,Own,Visa,Yes
540,Female,66,65+,12,High school degree,Managerial and Professional,11 to 15,Yes,16,Under $25,2.6,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
541,Male,78,65+,11,Did not complete high school,Service,More than 15,Yes,28,$25 - $49,9.8,Highly satisfied,Married,Rent,Visa,No
542,Female,48,35-49,11,Did not complete high school,Sales and Office,2 to 5,No,23,Under $25,18.7,Somewhat dissatisfied,Unmarried,Own,Other,Yes
543,Male,21,18-24,16,Some college,Service,Less than 2,No,31,$25 - $49,9.2,Highly dissatisfied,Unmarried,Rent,Discover,Yes
544,Female,68,65+,11,Did not complete high school,Agricultural and Natural Resources,More than 15,Yes,35,$25 - $49,12.2,Neutral,Married,Rent,American Express,No
545,Male,33,25-34,14,High school degree,Sales and Office,2 to 5,No,82,$75 - $124,6.9,Somewhat satisfied,Married,Own,American Express,No
546,Male,74,65+,11,Did not complete high school,Managerial and Professional,More than 15,Yes,18,Under $25,1.4,Highly satisfied,Unmarried,Rent,Other,No
547,Female,68,65+,6,Did not complete high school,Sales and Office,6 to 10,Yes,9,Under $25,11,Highly satisfied,Married,Rent,Mastercard,No
548,Female,54,50-64,19,College degree,Managerial and Professional,2 to 5,No,140,$125+,11.5,Neutral,Unmarried,Own,Visa,No
549,Male,44,35-49,16,Some college,Sales and Office,Less than 2,No,89,$75 - $124,3.9,Neutral,Unmarried,Own,Discover,Yes
550,Male,33,25-34,11,Did not complete high school,"Precision Production, Craft, Repair",6 to 10,No,31,$25 - $49,7.7,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
551,Female,20,18-24,13,High school degree,Sales and Office,Less than 2,No,15,Under $25,14,Highly dissatisfied,Married,Own,Discover,No
552,Male,22,18-24,12,High school degree,Sales and Office,Less than 2,No,20,Under $25,10.9,Somewhat satisfied,Unmarried,Own,Other,Yes
553,Female,45,35-49,17,College degree,Sales and Office,Less than 2,No,66,$50 - $74,12.5,Somewhat dissatisfied,Unmarried,Own,American Express,Yes
554,Male,49,35-49,14,High school degree,Sales and Office,2 to 5,No,46,$25 - $49,8.8,Somewhat dissatisfied,Married,Own,American Express,No
555,Female,29,25-34,17,College degree,Managerial and Professional,2 to 5,No,39,$25 - $49,9.8,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
556,Female,32,25-34,16,Some college,Sales and Office,Less than 2,No,21,Under $25,19.7,Neutral,Married,Own,Mastercard,No
557,Male,36,35-49,21,Post-undergraduate degree,Sales and Office,2 to 5,No,48,$25 - $49,13.4,Neutral,Unmarried,Rent,Mastercard,No
558,Female,69,65+,10,Did not complete high school,Sales and Office,6 to 10,No,41,$25 - $49,5,Somewhat satisfied,Unmarried,Rent,Mastercard,No
559,Female,68,65+,11,Did not complete high school,Sales and Office,11 to 15,No,102,$75 - $124,8.7,Neutral,Unmarried,Own,American Express,No
560,Female,55,50-64,10,Did not complete high school,"Precision Production, Craft, Repair",11 to 15,No,42,$25 - $49,6.1,Neutral,Married,Own,Visa,No
561,Male,30,25-34,17,College degree,"Precision Production, Craft, Repair",6 to 10,No,109,$75 - $124,18.4,Somewhat satisfied,Married,Own,American Express,Yes
562,Female,52,50-64,8,Did not complete high school,Service,More than 15,No,50,$50 - $74,4.2,Highly satisfied,Married,Rent,Other,No
563,Male,55,50-64,17,College degree,"Operation, Fabrication, General Labor",More than 15,No,101,$75 - $124,14.6,Highly satisfied,Unmarried,Own,Discover,Yes
564,Male,42,35-49,15,Some college,Sales and Office,2 to 5,No,65,$50 - $74,5.8,Neutral,Unmarried,Own,American Express,Yes
565,Male,19,18-24,12,High school degree,Sales and Office,Less than 2,No,25,$25 - $49,10.5,Neutral,Unmarried,Own,Visa,Yes
566,Male,46,35-49,16,Some college,"Operation, Fabrication, General Labor",6 to 10,No,24,Under $25,1.3,Somewhat satisfied,Married,Own,Visa,No
567,Female,38,35-49,10,Did not complete high school,Service,11 to 15,No,37,$25 - $49,8.5,Neutral,Unmarried,Own,Visa,No
568,Female,21,18-24,14,High school degree,"Precision Production, Craft, Repair",Less than 2,No,29,$25 - $49,18.9,Somewhat dissatisfied,Unmarried,Rent,Mastercard,Yes
569,Male,79,65+,12,High school degree,Sales and Office,6 to 10,Yes,9,Under $25,3.8,Neutral,Married,Rent,Mastercard,No
570,Female,53,50-64,12,High school degree,Sales and Office,6 to 10,No,32,$25 - $49,6.7,Somewhat satisfied,Married,Rent,Mastercard,No
571,Male,44,35-49,11,Did not complete high school,Service,11 to 15,No,66,$50 - $74,0.4,Somewhat satisfied,Unmarried,Own,Other,No
572,Female,19,18-24,14,High school degree,"Precision Production, Craft, Repair",Less than 2,No,13,Under $25,10.8,Highly dissatisfied,Unmarried,Own,American Express,Yes
573,Male,29,25-34,19,College degree,Managerial and Professional,Less than 2,No,71,$50 - $74,10.7,Highly dissatisfied,Unmarried,Own,American Express,Yes
574,Female,24,18-24,11,Did not complete high school,Managerial and Professional,2 to 5,No,18,Under $25,8.1,Highly dissatisfied,Married,Rent,Mastercard,No
575,Male,74,65+,16,Some college,Managerial and Professional,More than 15,No,51,$50 - $74,17.7,Somewhat satisfied,Married,Rent,Visa,No
576,Male,44,35-49,14,High school degree,Service,More than 15,No,154,$125+,2.4,Somewhat satisfied,Unmarried,Rent,Discover,No
577,Male,61,50-64,11,Did not complete high school,"Precision Production, Craft, Repair",More than 15,No,143,$125+,5,Neutral,Married,Own,Mastercard,No
578,Female,70,65+,18,College degree,"Operation, Fabrication, General Labor",More than 15,No,117,$75 - $124,7.1,Somewhat satisfied,Unmarried,Rent,Visa,No
579,Female,49,35-49,11,Did not complete high school,Sales and Office,2 to 5,No,31,$25 - $49,0.3,Somewhat dissatisfied,Unmarried,Rent,American Express,No
580,Female,57,50-64,20,Post-undergraduate degree,Managerial and Professional,6 to 10,No,47,$25 - $49,9.4,Neutral,Married,Rent,Discover,No
581,Female,34,25-34,12,High school degree,"Precision Production, Craft, Repair",6 to 10,No,37,$25 - $49,20.1,Neutral,Unmarried,Rent,American Express,No
582,Male,56,50-64,13,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,54,$50 - $74,5.4,Highly satisfied,Married,Own,Discover,No
583,Male,36,35-49,14,High school degree,Sales and Office,2 to 5,No,29,$25 - $49,11.9,Neutral,Unmarried,Own,Visa,Yes
